FICE,Cname,State,Indicator,AMSAT,AVSAT,ACSAT,AACT,FQMSAT,TQMSAT,FQVSAT,TQVSAT,FQACT,TQACT,AppsRcvd,AppsAcpt,StdEnrolled,P10,P25,FTUGs,PTUGs,InStateTut,OosTut,RandBcost,RCost,Bcost,AddFee,EstBookCost,EstPspend,PPhD,PTermDig,SFRatio,PDonate,InsEXp,GradRate
1557,Brewton-Parker College,GA,2,393,373,766,*,300,440,310,440,15,22,1436,1228,1202,10,26,1320,822,4371,4371,2370,1320,1050,130,500,2000,62,62,12.6,10,4900,18
1561,Columbus College,GA,1,470,420,890,*,*,*,*,*,*,*,1348,1050,774,*,*,2873,1736,1381,2763,3375,3375,*,219,800,300,61,70,16.5,9,5332,32
1564,Emory University,GA,2,650,570,1220,28,600,700,530,610,26,30,8506,4168,1236,76,97,5544,192,17600,17600,6000,3600,2400,230,600,870,97,98,5.0,28,28457,96
1566,Fort Valley State College,GA,1,*,*,*,*,*,*,*,*,*,*,2092,1474,649,*,*,1903,221,1341,2682,2370,1290,1080,385,*,*,59,61,13.9,*,*,39
1569,Georgia Institute of Technology,GA,1,*,*,*,*,630,720,520,610,*,*,7837,4527,2276,89,99,8528,654,1899,6489,4438,4438,*,444,795,1164,92,92,19.3,33,11271,70
1570,Southern College of Technology,GA,1,512,428,940,22,460,560,380,460,21,22,652,503,297,*,*,2229,1283,1341,4023,3219,2004,1215,207,465,1600,52,63,17.3,20,6208,36
1572,Georgia Southern University,GA,1,445,399,844,*,389,500,350,448,*,*,8388,5423,3034,*,*,11404,1007,1808,4571,2987,2987,*,*,450,*,60,66,19.7,15,4830,46
1573,Georgia Southwestern College,GA,1,446,404,850,20,360,500,330,450,17,21,860,716,330,*,*,1703,473,1578,4158,2415,1395,1020,*,*,*,50,85,18.1,*,7091,26
1574,Georgia State University,GA,1,*,*,*,*,410,520,370,480,18,23,3793,2341,1238,9,24,7732,9054,2154,6744,2655,2655,*,246,720,3450,87,89,19.0,10,7762,34
1577,Kennesaw State College,GA,1,474,435,909,*,*,*,*,*,*,*,2402,1824,1161,*,*,5438,5556,1422,2844,*,*,*,183,450,1835,62,76,19.8,10,4907,21
1578,LaGrange College,GA,2,449,405,780,*,*,*,*,*,*,*,544,399,177,15,35,600,363,6987,6987,3585,*,*,285,750,1500,77,83,12.5,12,9067,75
1580,Mercer University,GA,2,529,473,1002,24,500,620,440,550,21,27,2286,1668,564,37,70,2943,1260,11985,11985,4081,2160,1921,*,400,1500,93,95,9.2,15,8995,91
1582,Morehouse College,GA,2,538,488,1026,24,460,630,410,560,18,28,3708,1678,722,41,66,2852,153,7050,7050,5490,3140,2350,1420,250,600,71,74,17.8,10,8122,83
1583,Morris Brown College,GA,2,450,400,850,19,*,*,*,*,*,*,6407,1500,595,*,*,1752,125,6770,6770,4438,4438,*,966,600,650,49,62,15.7,*,*,21
1585,North Georgia College,GA,1,*,*,*,*,*,*,*,*,*,*,1612,1077,775,*,45,2023,316,1382,4145,2445,2445,*,294,180,*,60,72,17.5,*,*,53
1586,Oglethorpe University,GA,2,570,549,1119,27,510,630,490,610,24,30,792,649,186,56,87,769,377,12900,12900,4340,4340,*,60,600,4110,91,95,13.1,27,8568,67
1587,Paine College,GA,2,*,*,*,*,300,330,260,390,14,18,1322,636,225,*,*,589,97,5460,5460,2814,1704,1110,300,500,1505,48,48,10.9,*,8967,27
1588,Piedmont College,GA,2,499,452,951,*,*,*,*,*,*,*,663,562,127,20,40,641,63,5640,5640,3620,1670,1680,*,600,750,89,89,13.2,17,7309,31
1590,Savannah State College,GA,1,375,334,709,17,*,*,*,*,*,*,1702,1448,726,12,39,2726,472,1800,3200,2145,2145,*,*,*,*,60,61,19.0,*,5847,48
1591,Shorter College,GA,2,*,*,*,*,430,570,380,520,19,25,540,445,165,23,70,1115,111,7210,7210,3600,*,*,110,500,2000,62,65,13.2,18,7356,58
1594,Spelman College,GA,2,515,487,1002,23,470,560,440,530,21,25,3713,1237,443,47,83,1971,107,7000,7000,5565,2565,3000,1222,660,2400,73,80,12.5,18,9988,65
1596,Toccoa Falls College,GA,2,445,433,878,21,*,*,*,*,*,*,*,*,182,18,36,781,82,6072,6072,3636,*,*,*,400,3036,48,48,16.8,28,6015,54
1598,University of Georgia,GA,1,571,515,1086,*,520,640,470,570,*,*,11220,7871,3320,43,79,19553,2748,1899,5697,3600,1770,1830,453,525,1755,88,95,14.7,22,7881,63
1599,Valdosta State University,GA,1,442,399,841,21,*,*,*,*,*,*,3674,3247,1586,*,*,5982,1418,1770,4617,2940,1650,1290,*,600,1200,67,70,20.0,8,5374,45
1600,Wesleyan College,GA,2,492,521,1013,23,420,570,440,600,*,*,305,287,109,38,*,382,46,11500,11500,4500,*,*,460,515,1374,68,77,7.6,20,11605,52
1601,West Georgia College,GA,1,456,412,868,*,400,500,360,450,18,22,3668,2604,1331,*,*,4538,1179,1806,4650,2973,1425,1548,378,490,1200,59,62,19.2,10,5687,40
1602,Georgia College,GA,1,428,383,811,19,400,480,420,540,*,*,1868,1788,829,*,*,3467,1167,1694,4457,2739,1434,1305,312,450,500,70,70,21.4,7,4706,52
3484,Covenant College,GA,2,536,512,1048,24,470,610,440,580,22,28,407,317,181,21,48,468,31,9700,9700,3744,1980,1764,150,470,1120,73,75,19.0,*,8614,56
29258,Savannah Coll. of Art and Design,GA,2,515,490,1005,23,480,560,460,550,19,26,1109,688,386,20,65,1897,208,8325,8325,5000,3050,1950,450,1200,1600,14,98,16.1,26,6874,55
1605,Chaminade University of Honolulu,HI,2,450,400,850,19,*,*,*,*,*,*,621,546,103,*,*,766,1154,10600,10600,5490,2720,2770,*,700,800,63,67,14.1,*,5073,*
1606,Brigham Young University - Hawaii,HI,2,*,*,*,20,*,*,*,*,17,23,1038,533,428,21,42,2008,23,1780,1780,3360,*,3360,*,*,*,64,64,16.8,*,*,*
1610,University of Hawaii at Manoa,HI,1,537,441,978,*,470,600,380,500,*,*,3580,2603,1627,36,69,11028,2411,1460,4460,3038,1808,1230,97,687,1281,85,87,11.8,6,12833,54
7279,Hawaii Pacific University,HI,2,490,465,955,23,425,550,399,500,18,24,1827,1409,1169,*,*,4312,2302,6300,6300,6500,*,*,200,500,*,59,77,23.3,13,5301,*
29020,University of Hawaii at Hilo,HI,1,446,404,850,*,420,540,380,470,*,*,1499,779,500,20,54,2082,871,480,2920,4270,*,*,50,714,1277,72,80,15.8,*,11460,31
1846,Briar Cliff College,IA,2,410,385,795,22,*,*,*,*,20,25,392,351,155,16,44,738,430,10260,10260,3597,3597,*,150,600,1500,39,66,13.1,26,8355,58
1847,Buena Vista College,IA,2,526,493,1019,24,490,510,480,500,22,26,860,688,285,32,70,1928,442,13306,13306,3797,1997,1800,*,450,950,62,69,8.8,10,6333,78
1850,Central College,IA,2,*,*,*,24,*,*,*,*,21,26,1283,1113,401,31,65,1355,40,10938,10938,3660,1638,2022,141,650,600,76,90,13.5,29,8444,67
1852,Clarke College,IA,2,*,*,*,21,*,*,*,*,21,26,460,340,167,14,45,604,350,10740,10740,3676,1838,1838,225,350,900,67,71,11.0,27,7963,74
1854,Coe College,IA,2,560,500,1060,25,490,590,450,560,23,27,1006,742,275,29,60,1127,205,13925,13925,4390,2400,1990,125,500,2200,73,86,12.7,32,10141,67
1856,Cornell College,IA,2,560,510,1070,25,500,620,450,590,23,28,1538,1329,383,33,68,1140,10,15248,15248,4323,1978,2345,125,550,800,71,76,12.2,31,10340,64
1859,Dordt College,IA,2,*,*,*,23,*,*,*,*,19,25,604,562,328,25,50,1048,56,9800,9800,2650,1200,1450,60,450,2800,61,60,12.5,17,7325,87
1860,Drake University,IA,2,540,490,1030,25,470,610,430,550,22,28,2799,2573,839,34,65,3322,726,13420,13420,4770,2148,2422,*,560,1675,88,93,15.0,24,9473,77
1881,Mount Saint Clare College,IA,2,*,*,*,21,*,*,*,*,17,23,325,284,95,16,33,364,88,9900,9900,3650,1660,1990,80,500,1200,32,37,13.6,43,6525,21
1883,Northwestern College,IA,2,*,*,*,22,*,*,*,*,20,26,860,811,366,22,56,1040,52,9900,9900,3075,1750,1325,*,300,1800,68,68,14.9,34,6357,68
1887,Simpson College,IA,2,*,*,*,*,*,*,*,*,21,26,1016,872,300,27,57,1116,602,11250,11250,4980,2130,2850,155,550,1400,66,73,15.8,36,7411,70
1889,Saint Ambrose University,IA,2,*,*,*,22,*,*,*,*,18,23,897,718,276,12,48,1345,390,10450,10450,4020,2310,1710,10,500,1500,56,56,14.1,16,7444,70
1892,University of Iowa,IA,1,*,*,*,*,*,*,*,*,22,27,9224,8025,3262,23,52,15412,2878,2291,8149,3423,*,*,164,640,2426,*,98,13.1,37,12194,62
1893,Upper Iowa University,IA,2,*,*,*,22,*,*,*,*,19,25,663,452,192,10,35,1481,1160,8840,8840,3060,3060,*,*,500,1000,69,75,17.4,19,3733,78
1896,Wartburg College,IA,2,557,478,1035,24,490,640,420,540,21,27,1231,1074,345,34,66,1295,105,11600,11600,3610,1940,1670,120,400,850,66,91,12.4,37,7735,67
1899,Teikyo Westmar University,IA,2,*,*,*,19,*,*,*,*,*,*,451,306,123,10,18,611,146,9980,9980,3640,2010,1630,280,600,2240,46,46,12.0,*,*,51
1900,William Penn College,IA,2,*,*,*,*,*,*,*,*,17,23,326,294,140,10,33,630,107,10000,10000,3110,1800,1310,290,495,800,35,35,13.3,*,7057,40
1616,Boise State University,ID,1,468,431,899,21,*,*,*,*,*,*,3619,3080,1888,*,*,7948,5040,*,2093,3069,3370,*,938,600,2632,59,63,17.0,8,5705,25
1621,Lewis-Clark State College,ID,1,445,397,842,21,460,530,330,350,*,*,1001,551,428,*,*,1970,1256,1412,5120,3190,*,*,*,908,1721,60,77,12.1,*,6997,44
1624,Northwest Nazarene College,ID,2,*,*,*,23,*,*,*,*,18,24,616,514,385,29,52,1115,60,9840,9840,2820,1680,1140,339,450,822,59,59,14.8,20,6261,58
1626,University of Idaho,ID,1,517,463,980,23,420,580,390,530,19,25,3133,2799,1337,24,49,7242,1431,1548,5962,3540,*,*,*,832,*,82,95,13.5,18,8805,45
1633,Augustana College,IL,2,*,*,*,25,*,*,*,*,23,28,1879,1658,497,36,69,1950,38,13353,13353,4173,1622,1622,93,540,821,78,83,12.7,40,9220,71
1696,Illinois Wesleyan University,IL,2,617,534,1151,28,600,670,480,560,26,30,3050,1342,471,55,86,1818,23,14360,14360,4090,1760,2330,125,400,650,77,92,12.9,34,9605,83
1700,Judson College,IL,2,*,*,*,22,*,*,*,*,19,24,313,228,137,10,30,552,67,9414,9414,4554,*,*,400,500,1700,34,55,10.6,30,7840,56
1703,Kendall College,IL,2,420,450,870,18,400,500,400,500,15,19,150,150,121,15,15,338,33,6900,6900,4851,4851,*,165,800,1500,24,35,15.9,*,8812,80
1704,Knox College,IL,2,570,530,1100,25,510,650,470,600,23,28,1040,845,286,48,77,967,24,15747,15747,4062,1806,2256,186,400,800,88,95,12.7,33,13224,79
1706,Lake Forest College,IL,2,*,*,*,*,480,600,440,560,22,27,979,638,271,31,70,968,20,16880,16880,3970,1740,2230,230,920,1320,91,94,10.7,19,15687,77
1707,Lewis University,IL,2,*,*,*,20,*,*,*,*,19,23,1154,1050,395,12,31,2192,1423,10560,10560,4520,2030,2490,*,500,1200,36,48,14.3,10,7701,61
1710,Loyola University Chicago,IL,2,529,482,1011,24,470,590,430,540,21,26,3579,2959,868,25,55,5244,3417,11500,11500,5330,*,*,350,700,2000,94,95,6.2,15,13009,65
1717,MacMurray College,IL,2,*,*,*,21,*,*,*,*,18,23,740,558,177,12,29,628,63,9620,9620,3750,2050,1700,*,550,950,49,55,10.8,33,10642,59
1722,McKendree College,IL,2,*,*,*,21,*,*,*,*,20,26,1002,555,119,16,43,836,684,7680,7680,3740,1820,1920,135,500,800,70,74,17.7,21,6652,52
1724,Millikin University,IL,2,541,511,1052,24,480,600,470,570,21,27,1444,1261,456,29,62,1788,95,11910,11910,4378,*,*,91,450,965,60,77,11.4,25,8149,75
1725,Monmouth College,IL,2,470,470,940,23,*,*,*,*,18,27,601,503,204,28,57,671,11,13000,13000,4100,2100,2000,200,400,460,91,91,11.6,43,11087,56
1733,National-Louis University,IL,2,*,*,*,17,*,*,*,*,16,22,513,347,279,23,48,2508,505,9090,9090,4500,4500,*,*,650,500,62,65,18.3,2,7905,71
1734,North Central College,IL,2,556,483,1039,25,480,630,440,550,21,27,1127,884,308,30,64,1310,766,11718,11718,7398,*,*,120,450,1800,73,87,16.4,33,8871,76
1735,North Park College,IL,2,526,466,992,22,437,620,400,542,17,25,465,361,176,19,39,879,156,12580,12580,4345,2390,1955,*,400,970,76,79,13.1,24,10889,74
1737,Northern Illinois University,IL,1,*,*,*,22,*,*,*,*,20,25,10706,7219,2397,12,37,14826,1979,2600,7799,3296,3296,*,950,470,1750,73,78,17.3,11,6086,56
1749,Roosevelt University,IL,2,*,*,*,19,*,*,*,*,15,21,422,367,218,13,40,1700,2902,8580,8580,5100,5100,*,80,600,*,75,79,12.2,13,8995,77
1750,Rosary College,IL,2,*,*,*,*,*,*,*,*,19,24,434,321,141,28,53,624,269,10950,10950,4600,*,*,95,550,950,79,82,12.9,30,9264,81
1758,Southern Illinois University at Carbondale,IL,1,*,*,*,22,*,*,*,*,18,23,*,*,2158,*,*,16961,2499,2318,6953,3256,1920,1336,864,600,2608,71,*,14.9,6,9158,44
1759,Southern Illinois University at Edwardsville,IL,1,*,*,*,21,*,*,*,*,18,23,2540,2195,994,13,40,6063,2550,1824,5472,3598,1570,2028,488,221,2216,76,81,16.5,8,7498,43
1767,Illinois Benedictine College,IL,2,*,*,*,23,*,*,*,*,20,26,607,558,269,22,47,1222,519,10500,10500,4348,*,*,150,650,1500,81,91,11.6,29,8324,75
1768,Saint Xavier University,IL,2,*,*,*,20,*,*,*,*,*,*,785,647,295,15,65,1670,726,10860,10860,4624,2666,1958,110,600,794,87,100,13.7,15,8953,55
1772,Trinity College,IL,2,*,*,*,*,*,*,*,*,*,*,746,473,317,39,82,834,50,9600,9600,4110,2030,2080,75,600,1300,54,56,21.9,*,5252,28
1774,University of Chicago,IL,2,*,*,*,*,630,720,570,680,27,31,6348,2999,922,68,94,3340,39,18930,18930,6380,3070,3310,486,500,1254,99,99,5.3,36,36854,90
1775,University of Illinois - Urbana,IL,1,617,522,1139,27,550,700,470,580,23,29,14939,11652,5705,52,88,25422,911,2760,7560,4574,1780,2794,920,500,1982,87,90,17.4,13,8559,81
1776,University of Illinois at Chicago,IL,1,*,*,*,21,*,*,*,*,18,23,8384,5727,2710,22,50,13518,2916,2520,7230,5088,3198,1890,1108,630,3228,82,84,10.0,6,13883,34
1780,Western Illinois University,IL,1,*,*,*,22,*,*,*,*,18,24,6491,5027,1563,6,24,9015,1449,1902,5706,3193,1843,1350,705,600,1993,77,77,17.2,*,6566,55
1781,Wheaton College,IL,2,*,*,*,*,570,670,510,620,25,30,1432,920,548,56,84,2200,56,11480,11480,4200,2440,1760,*,530,1400,81,83,12.7,40,11916,85
1785,Anderson University,IN,2,462,423,885,21,390,540,360,490,18,23,1216,908,423,19,40,1819,281,10100,10100,3520,1620,1900,200,550,1100,48,61,12.1,14,7994,59
1827,Purdue University Calumet,IN,1,440,450,890,22,*,*,*,*,*,*,*,*,*,*,*,3831,4186,2374,5521,*,*,*,30,490,*,*,*,*,*,*,*
1830,Rose-Hulman Institute of Technology,IN,2,670,540,1210,30,600,710,490,600,*,*,3320,1840,381,73,93,1320,*,13380,13380,4206,2070,2136,120,600,600,91,91,13.6,42,13550,97
1832,Saint Francis College,IN,2,450,410,860,21,380,530,370,470,18,23,213,166,85,13,36,513,247,8670,8670,3820,3820,*,80,450,1000,43,78,12.5,4,7440,48
1833,Saint Joseph's College,IN,2,494,423,917,22,430,580,370,480,20,26,920,684,225,24,42,815,222,11200,11200,4250,4250,*,330,600,950,55,60,14.8,19,7360,67
1834,Calumet College of St. Joseph,IN,2,*,*,*,*,310,410,280,440,17,17,225,203,176,13,24,470,627,3960,3960,*,*,*,25,*,*,37,60,10.6,*,4119,*
1835,Saint Mary-of-the-Woods College,IN,2,422,392,814,20,*,*,*,*,*,*,150,130,88,23,50,341,768,10300,10300,4130,1590,2540,400,500,1700,44,58,10.2,37,9678,75
1836,Saint Mary's College,IN,2,538,488,1026,25,490,600,430,530,23,27,888,734,393,26,60,1433,27,12730,12730,4514,2652,1862,901,500,1525,74,95,9.9,31,11165,98
1837,Saint Meinrad College,IN,2,*,*,*,*,*,*,*,*,18,23,69,44,36,30,44,118,*,6004,6004,4226,*,*,76,400,2100,67,67,4.9,23,*,*
1838,Taylor University,IN,2,579,513,1092,25,570,640,460,560,23,28,1769,1092,437,41,80,1757,81,10965,10965,4000,1900,2100,210,450,1250,60,61,14.2,32,8294,98
1839,Tri-State University,IN,2,502,409,911,21,440,570,360,460,18,24,1262,1102,276,14,40,978,98,9456,9456,4350,*,*,186,468,1323,53,53,12.8,24,7603,65
1840,University of Notre Dame,IN,2,650,570,1220,*,620,720,540,640,*,*,7700,3700,1906,79,96,7671,30,16850,16850,4400,4400,*,147,600,1350,96,92,13.1,46,13936,97
1842,Valparaiso University,IN,2,*,*,*,*,530,670,470,590,25,30,2075,1727,520,49,81,2501,198,11800,11800,3260,1300,1960,450,500,800,87,89,14.2,23,9681,95
1844,Wabash College,IN,2,*,*,*,*,540,660,440,580,*,*,800,623,256,41,76,801,5,12925,12925,4195,1480,2715,250,500,635,78,85,9.9,55,14904,72
9563,Indiana State University,IN,1,434,391,825,20,360,500,330,450,17,22,5659,4761,3147,10,31,8596,1949,2802,6892,3706,*,*,*,600,2500,72,76,16.6,8,6996,40
1903,Baker University,KS,2,*,*,*,23,*,*,*,*,20,25,602,483,206,21,47,958,466,8620,8620,4100,1900,2200,310,400,2250,58,68,11.0,21,6136,65
1904,Bethany College,KS,2,*,*,*,23,*,*,*,*,18,24,878,816,200,16,41,706,62,8740,8740,3363,1463,1900,105,550,1700,62,68,11.6,29,7718,48
1905,Bethel College,KS,2,*,*,*,22,*,*,*,*,19,26,202,184,122,19,42,537,101,8540,8540,3580,1960,1620,200,500,1400,61,80,8.8,32,8324,56
1915,Fort Hays State University,KS,1,*,*,*,*,*,*,*,*,*,*,1363,1363,806,*,33,3640,706,1734,4869,2950,2950,*,*,500,*,65,68,18.1,*,5804,44
1918,Friends University,KS,2,*,*,*,20,*,*,*,*,*,*,358,276,172,5,24,838,122,8516,8516,3130,*,1910,115,650,*,55,30,25.0,19,4962,49
1926,Pittsburg State University,KS,1,*,*,*,21,*,*,*,*,*,*,1419,1313,813,11,30,4469,499,1778,5424,3000,3000,*,*,300,2000,52,52,23.2,*,1834,58
1927,Emporia State University,KS,1,*,*,*,20,*,*,*,*,18,23,1256,1256,853,43,79,3957,588,1729,5401,3144,1512,1632,*,450,1888,72,75,19.3,4,5527,50
1928,Kansas State University,KS,1,*,*,*,*,*,*,*,*,19,26,5880,4075,2833,25,55,14914,2246,1713,6995,3120,3120,*,403,600,2000,76,86,18.5,22,6122,54
1929,Kansas Wesleyan University,KS,2,*,*,*,21,*,*,*,*,*,*,589,575,148,16,40,474,258,8400,8400,3250,1850,1400,120,500,1400,63,55,12.4,14,6535,68
1933,McPherson College,KS,2,*,*,*,22,*,*,*,*,*,*,420,293,93,11,32,336,80,7950,7950,3750,1550,2200,260,600,2740,54,54,9.8,45,9754,48
1937,Ottawa University,KS,2,*,*,*,*,*,*,*,*,16,24,607,388,236,8,19,538,36,7250,7250,3245,1945,1300,*,400,2730,47,57,14.5,19,*,46
1940,Southwestern College,KS,2,*,*,*,21,*,*,*,*,*,*,213,155,75,28,66,504,147,7200,7200,3532,*,*,*,550,1500,56,56,11.8,12,7818,52
1943,Saint Mary College,KS,2,*,*,*,*,*,*,*,*,20,26,273,229,66,25,60,439,415,7800,7800,3880,3820,*,270,800,*,50,80,8.2,45,7364,53
1945,Sterling College,KS,2,441,402,843,22,*,*,*,*,*,*,479,373,127,20,43,631,133,8280,8280,3260,*,*,100,500,*,50,50,16.1,29,10049,36
1946,Tabor College,KS,2,*,*,*,22,*,*,*,*,*,*,257,183,109,19,41,396,38,7850,7850,3410,2010,1400,200,400,1500,55,70,10.0,15,7233,53
1948,University of Kansas,KS,1,*,*,*,23,*,*,*,*,20,26,8579,5561,3681,25,50,17880,1673,1650,6994,3384,*,*,388,700,2681,88,94,13.7,17,9657,57
1949,Washburn University,KS,1,*,*,*,*,*,*,*,*,*,*,1100,1078,560,*,36,3157,2705,2790,4774,3210,1410,1800,32,450,1000,82,82,13.8,*,5828,53
1950,Wichita State University,KS,1,*,*,*,21,*,*,*,*,18,24,2901,2236,896,*,39,6550,5083,1650,6994,3299,*,*,465,450,350,82,87,20.4,17,5950,32
7032,MidAmerica Nazarene College,KS,2,*,*,*,22,*,*,*,*,18,24,331,331,225,15,36,1100,166,6840,6840,3720,*,*,472,1100,4913,33,33,15.4,20,5524,49
10256,Benedictine College,KS,2,*,*,*,*,400,470,430,540,19,27,632,620,222,14,24,702,501,9550,9550,3850,2250,1600,210,350,250,64,84,14.1,18,5922,58
1951,Alice Lloyd College,KY,2,*,*,*,*,*,*,*,*,18,24,1174,607,289,20,45,555,24,*,3800,2480,1100,1380,300,500,800,56,56,19.4,*,6616,31
1952,Asbury College,KY,2,513,476,989,23,430,570,430,520,21,25,643,509,280,26,56,1110,39,8988,8988,2764,1226,1538,125,500,1600,61,70,12.1,36,7741,*
1954,Bellarmine College,KY,2,515,474,989,23,460,580,410,540,20,26,807,707,308,39,63,1198,605,8840,8840,2950,1950,1000,100,750,1290,74,82,13.1,31,6668,84
1955,Berea College,KY,2,514,465,979,22,*,*,*,*,*,*,1836,599,455,35,60,1540,51,*,*,2835,1355,1480,188,450,1027,77,81,13.2,34,11719,57
1958,Brescia College,KY,2,*,*,*,*,*,*,*,*,18,24,307,260,99,17,42,452,249,7500,7500,3200,3200,*,*,650,*,49,54,10.1,57,6554,56
1959,Campbellsville College,KY,2,*,*,*,*,*,*,*,*,19,25,848,587,298,25,55,935,184,6060,6060,3070,1850,1220,*,600,1300,62,66,17.7,13,5391,49
1960,Spalding University,KY,2,*,*,*,20,*,*,*,*,*,*,283,201,97,10,45,589,263,8400,8400,2800,*,*,96,600,900,50,56,10.6,40,6860,89
1961,Centre College,KY,2,575,534,1109,27,500,650,480,590,25,29,1013,888,288,55,82,943,7,11850,11850,4270,2120,2150,350,600,900,95,99,11.4,60,13118,74
1962,Cumberland College,KY,2,470,420,890,21,410,540,350,480,18,24,995,789,398,26,47,1306,122,6230,6230,3526,3526,*,32,400,600,42,44,13.0,4,8189,63
1963,Eastern Kentucky University,KY,1,*,*,*,19,*,*,*,*,*,*,5443,5135,2445,*,*,11208,3350,1700,4700,3196,1960,1236,*,600,*,82,82,19.8,*,5394,39
1964,Georgetown College,KY,2,*,*,*,22,*,*,*,*,20,26,727,693,286,30,55,1063,48,8000,8100,3950,1975,1975,50,550,550,73,76,13.3,28,7508,55
1968,Kentucky State University,KY,1,*,*,*,*,348,480,290,415,16,20,1636,952,424,6,22,1544,896,1340,4120,2682,1456,1226,100,510,*,60,61,15.0,*,8372,19
1969,Kentucky Wesleyan College,KY,2,450,410,860,22,410,540,360,490,19,25,584,497,175,20,49,662,121,8000,8000,4150,2300,1850,200,500,1300,57,65,11.3,32,7058,62
1972,Lindsey Wilson College,KY,2,*,*,*,18,*,*,*,*,*,*,1089,865,382,*,*,1006,164,6600,6600,3550,1400,2150,80,400,500,32,*,19.3,*,5067,*
1976,Morehead State University,KY,1,*,*,*,20,*,*,*,*,17,21,2825,2495,1300,*,*,6311,975,1580,4740,2950,*,*,320,500,1050,58,58,19.9,8,5175,52
1977,Murray State University,KY,1,*,*,*,22,*,*,*,*,19,24,2225,1910,1190,29,55,5968,955,1580,4738,3110,1290,1820,280,700,940,72,76,20.2,27,5972,52
1980,Pikeville College,KY,2,*,*,*,*,*,*,*,*,15,22,404,400,169,28,48,797,100,6000,6000,3000,3000,*,130,500,500,48,57,13.4,14,5557,61
1987,Transylvania University,KY,2,564,532,1096,26,500,650,460,610,23,29,759,729,244,57,81,867,51,10900,10900,4450,2480,1970,450,500,1000,81,91,12.1,41,10219,70
1988,Union College,KY,2,440,390,830,20,340,480,300,430,17,26,484,384,177,9,45,634,78,7800,7800,2950,2950,*,*,500,600,60,88,14.1,9,6864,64
1989,University of Kentucky,KY,1,*,*,*,25,*,*,*,*,21,26,7769,5689,2675,*,*,14931,2596,2160,6640,3226,*,*,330,450,1340,95,97,12.2,12,11098,52
1999,University of Louisville,KY,1,*,*,*,21,*,*,*,*,*,*,4777,3057,1823,16,33,9844,6198,2180,6540,3600,*,*,210,530,2440,84,92,11.1,24,10207,31
2001,Thomas More College,KY,2,512,452,964,23,*,*,*,*,*,*,808,594,218,*,*,756,502,9490,9490,3892,2248,1644,110,400,880,65,55,10.5,18,7678,66
2002,Western Kentucky University,KY,1,*,*,*,*,*,*,*,*,18,23,4441,3260,2082,*,*,10264,2910,1801,4961,3149,1316,1833,221,500,1100,66,70,19.1,10,5063,45
9275,Northern Kentucky University,KY,1,*,*,*,*,*,*,*,*,17,22,2920,2506,1682,*,*,7112,3832,1720,4720,2900,2900,*,*,500,500,66,77,17.7,20,4745,52
2003,Centenary College of Louisiana,LA,2,550,500,1060,25,460,610,440,570,22,28,495,434,210,35,55,775,44,8950,8950,3490,1470,2020,306,600,1900,86,92,11.3,25,9685,66
2004,Dillard University,LA,2,*,*,*,20,*,*,*,*,*,*,1998,1376,651,41,88,1539,45,6700,6700,3650,*,*,*,500,2307,52,52,14.1,12,7566,61
