FICE,Cname,State,Indicator,AMSAT,AVSAT,ACSAT,AACT,FQMSAT,TQMSAT,FQVSAT,TQVSAT,FQACT,TQACT,AppsRcvd,AppsAcpt,StdEnrolled,P10,P25,FTUGs,PTUGs,InStateTut,OosTut,RandBcost,RCost,Bcost,AddFee,EstBookCost,EstPspend,PPhD,PTermDig,SFRatio,PDonate,InsEXp,GradRate
4759,CUNY-York College,NY,1,395,356,751,*,320,470,280,420,*,*,1432,1432,706,5,20,3932,2937,2450,5050,*,*,*,120,600,3364,75,88,18.9,*,5383,26
4766,CUNY- Baruch College,NY,1,*,*,*,*,*,*,*,*,*,*,5377,2872,1300,18,54,8247,4328,2450,5050,*,*,*,112,500,500,83,88,18.2,7,5801,47
20662,New School for Social Research,NY,2,537,552,1089,*,*,*,*,*,*,*,1914,1190,634,*,*,2609,1482,14710,14710,8020,5520,2500,150,1300,1080,69,88,10.2,9,13578,59
29040,CUNY-College of Staten Island,NY,1,447,398,845,*,390,480,340,450,*,*,2170,2170,1433,9,40,5949,4887,2450,5050,*,*,*,106,*,*,71,90,17.6,1,6154,48
3011,Art Academy of Cincinnati,OH,2,425,425,850,17,*,*,*,*,*,*,130,82,33,*,*,199,31,8450,8450,*,*,*,370,1200,*,11,89,7.5,*,9442,*
3012,Ashland University,OH,2,438,410,848,21,*,*,*,*,*,*,1454,1267,424,20,41,1874,757,11431,11431,4684,2467,2217,260,600,1700,43,43,17.4,*,9090,66
3014,Baldwin-Wallace College,OH,2,529,468,997,23,460,590,410,530,20,25,1690,1366,662,30,61,2718,1460,10995,10995,4410,2235,2175,585,1000,1000,68,74,17.6,20,8086,85
3016,Bluffton College,OH,2,512,438,972,23,430,600,380,510,20,25,692,514,209,20,50,760,81,9900,9900,3990,2373,1617,*,400,900,76,71,13.3,19,9073,58
3018,Bowling Green State University,OH,1,497,449,946,22,430,550,390,500,20,24,9251,7333,3076,14,45,13699,1213,3070,7452,3352,1968,1384,660,600,1700,81,89,21.1,14,6918,67
3023,Capital University,OH,2,*,*,*,23,*,*,*,*,21,26,1747,1382,449,34,66,1662,960,13050,13050,4000,4000,*,135,500,800,64,69,12.1,27,9557,83
3024,Case Western Reserve University,OH,2,*,*,*,*,600,740,490,640,26,32,3877,3156,713,71,93,3051,513,15700,15700,4730,2960,1770,125,525,1460,95,95,2.9,29,19733,67
3025,Cedarville College,OH,2,524,486,1010,24,450,600,420,550,21,26,1307,1090,616,25,55,2196,82,7344,7344,4410,2370,2040,126,570,1000,50,52,15.3,34,6897,64
3026,Central State University,OH,1,*,*,*,*,*,*,*,*,*,*,2222,1767,729,*,*,2636,625,1513,4731,4293,4293,*,1164,604,1164,49,49,21.1,36,7219,*
3032,Cleveland State University,OH,1,440,408,848,20,350,510,320,450,16,22,2407,2296,1304,5,19,7749,3961,3231,6462,*,*,*,*,808,*,91,97,18.5,6,7649,35
3033,College of Mount St. Joseph,OH,2,480,440,920,21,400,550,380,500,19,25,798,620,238,14,41,1165,1232,9800,9800,4430,2280,2150,50,400,1150,46,46,11.1,35,6889,100
3036,Franciscan University of Steubenville,OH,2,516,488,1004,24,440,590,410,550,20,26,553,452,228,22,49,1301,242,9650,9650,4400,2200,2200,260,600,1000,57,69,14.9,8,6336,83
3037,College of Wooster,OH,2,570,530,1100,24,500,620,460,580,22,28,2100,1883,553,29,65,1704,1,16240,16240,4690,2160,2530,*,500,500,84,96,11.1,43,14140,69
3041,Defiance College,OH,2,438,381,819,21,360,510,310,480,18,23,571,461,174,10,26,645,283,10850,10850,3670,*,*,*,400,1159,58,60,12.8,19,7505,56
3042,Denison University,OH,2,*,*,*,*,520,630,460,570,25,29,2762,2279,533,32,60,1835,14,16900,16900,4720,2600,2120,820,500,600,88,97,11.6,45,12423,81
3045,University of Findlay,OH,2,*,*,*,22,*,*,*,*,*,*,2165,1783,412,20,43,1854,475,11800,11800,5030,2460,2570,104,550,650,51,56,12.4,22,6631,*
3046,Franklin University,OH,2,*,*,*,*,*,*,*,*,*,*,1304,1300,871,4,15,1272,2733,3096,3096,*,*,*,*,*,*,53,53,19.6,*,4723,33
3048,Heidelberg College,OH,2,500,420,920,22,*,*,*,*,*,*,738,687,241,20,44,964,242,13780,13780,4410,2004,2406,198,500,500,68,73,12.5,*,9268,65
3049,Hiram College,OH,2,540,510,1050,24,480,590,430,560,21,27,922,729,244,37,66,1000,275,14067,14067,4560,*,*,270,400,1000,75,95,10.6,34,12165,79
3050,John Carroll University,OH,2,561,502,1063,23,530,630,460,580,20,25,2421,2109,820,27,57,3168,392,11700,11700,5550,3000,2550,*,600,450,89,90,14.5,28,7738,89
3051,Kent State University,OH,1,462,424,886,21,390,520,360,480,18,23,9210,3040,7425,10,30,15615,3230,3927,7854,3666,*,*,*,500,1350,81,86,20.8,*,6397,46
3065,Kenyon College,OH,2,593,570,1163,27,550,640,520,630,25,29,2212,1538,408,44,75,1445,1,19240,19240,3690,1640,2050,610,750,480,95,95,11.1,46,14067,88
3069,Lourdes College,OH,2,*,*,*,19,*,*,*,*,18,22,57,55,32,17,48,435,1174,6992,6992,*,*,*,300,720,3285,17,24,9.6,8,7256,46
3072,Malone College,OH,2,479,433,912,21,410,560,380,490,19,24,874,758,428,21,46,1605,246,9858,9858,3700,2020,1680,135,450,1200,42,45,17.6,16,4796,55
3073,Marietta College,OH,2,*,*,*,*,490,600,450,550,22,27,1611,960,342,27,60,1089,210,13850,13850,3920,2020,1900,270,470,810,80,97,13.2,30,10223,96
3083,Mount Union College,OH,2,*,*,*,23,*,*,*,*,20,25,1310,1086,458,26,61,1365,144,12250,12250,3530,1400,2130,700,400,1150,85,87,16.7,35,7215,81
3084,Muskingum College,OH,2,490,436,926,22,400,550,370,500,19,25,1109,922,375,24,46,1115,70,13240,13240,3914,1634,2280,386,600,800,73,85,13.4,27,9333,73
3085,Notre Dame College of Ohio,OH,2,415,423,838,19,370,480,410,470,17,22,136,107,42,12,36,377,373,8064,8064,3860,2420,*,80,650,700,61,61,8.7,38,7712,*
3086,Oberlin College,OH,2,623,596,1219,29,570,680,540,660,25,30,4778,2767,678,50,89,2587,120,19670,19670,5820,2920,2900,126,575,1119,77,96,10.1,47,16593,83
3089,Ohio Northern University,OH,2,541,465,1006,24,480,650,410,540,20,26,2936,2342,669,35,62,2502,66,15990,15990,4080,1785,2295,*,600,825,73,78,14.5,31,9979,83
3100,Ohio University,OH,1,520,473,993,24,460,580,420,530,21,26,11023,8298,3183,21,54,14861,1310,3552,7629,4095,2013,2082,357,550,2300,79,87,20.4,13,8811,64
3109,Ohio Wesleyan University,OH,2,575,528,1103,25,510,620,470,570,22,28,2190,1700,458,36,65,1780,48,16732,16732,5650,2860,2790,*,550,550,93,93,12.1,32,12011,75
3110,Otterbein College,OH,2,*,*,*,24,*,*,*,*,21,26,1496,1205,428,26,57,1648,936,12888,12888,4440,*,*,*,420,840,62,68,13.9,30,8802,87
3121,Tiffin University,OH,2,372,308,680,19,300,440,260,360,16,20,845,734,254,5,21,662,351,7600,7600,3800,1800,2000,125,600,1200,59,74,19.0,40,5096,39
3123,University of Akron,OH,1,467,413,880,20,399,599,349,475,17,23,6305,5190,3211,*,*,12487,9295,2888,7650,3844,2454,1390,304,550,2100,71,80,16.7,18,6025,43
3125,University of Cincinnati,OH,1,533,464,997,23,460,610,400,520,20,26,6855,5553,2408,26,57,11036,2011,3234,8907,4697,2703,1994,498,556,1851,89,95,10.8,6,13889,54
3127,University of Dayton,OH,2,578,504,1082,25,490,610,500,560,22,28,6361,5293,1507,26,51,5889,665,11380,11380,4220,2160,2060,450,500,900,81,85,14.8,25,8894,93
3131,University of Toledo,OH,1,504,447,951,20,430,640,390,560,19,25,3055,2959,1527,*,*,15428,5370,2693,7441,3719,2564,1155,706,550,500,81,83,20.4,5,6124,48
3133,Urbana University,OH,2,*,*,*,19,*,*,*,*,17,21,318,265,132,12,45,745,203,8468,8468,4140,1760,2380,477,500,750,68,70,15.0,10,5052,*
3134,Ursuline College,OH,2,434,404,838,21,340,540,330,490,18,20,325,260,86,21,47,699,717,9600,9600,4202,2270,1932,210,450,750,39,69,10.5,15,7164,68
3135,Walsh University,OH,2,*,*,*,22,*,*,*,*,*,*,1092,890,477,27,92,847,497,8670,8670,4180,*,*,300,500,1450,42,58,11.3,33,5738,68
3141,Wilberforce University,OH,2,540,502,1042,24,*,*,*,*,*,*,1259,691,227,24,54,775,*,6346,6346,3392,1632,1760,300,550,*,26,26,13.4,*,*,*
3142,Wilmington College,OH,2,*,*,*,*,*,*,*,*,18,22,709,602,225,15,37,1372,611,10230,10230,4110,*,4110,180,500,1000,59,*,13.3,16,6943,67
3143,Wittenberg University,OH,2,577,524,1101,25,510,620,480,570,22,27,1979,1739,575,42,68,1980,144,15948,15948,4404,2190,2214,822,400,800,82,95,12.8,29,10414,78
3144,Xavier University,OH,2,521,475,996,24,440,600,420,540,21,27,1959,1805,695,24,47,2849,1107,11520,11520,4960,2600,2360,10,600,1250,73,75,13.3,31,9189,83
3145,Youngstown State University,OH,1,*,*,*,20,*,*,*,*,17,23,3297,2903,1907,13,32,9633,3662,2196,4536,3675,*,*,594,570,1410,71,*,18.0,1,5483,50
6883,Ohio State University at Columbus,OH,1,*,*,*,*,450,610,400,530,20,26,15076,12860,5330,24,52,31039,6005,3087,9315,4484,*,*,*,525,2550,*,95,13.1,17,10900,56
7085,Mount Vernon Nazarene College,OH,2,*,*,*,22,*,*,*,*,*,*,510,485,334,18,36,1114,94,7400,7400,3346,*,*,516,600,600,57,57,19.8,7,6869,58
7104,Miami University at Oxford,OH,1,*,*,*,*,540,640,470,560,23,27,9239,7788,3290,35,39,13606,807,3740,8856,3960,1860,2100,798,500,1382,81,89,17.6,20,7846,85
8795,Antioch University,OH,2,504,516,1004,24,430,580,460,580,21,27,713,661,252,25,44,712,23,15476,15476,3336,1538,1798,1404,400,1100,69,82,11.3,35,42926,48
9168,Wright State University,OH,1,*,*,*,*,330,530,300,480,18,23,*,*,*,11,30,9967,3732,*,*,*,*,*,*,*,*,80,80,8.1,*,8133,*
12748,Shawnee State University,OH,1,*,*,*,19,*,*,*,*,*,*,1406,1406,952,*,*,2536,1100,2262,4128,*,*,*,393,*,*,42,42,17.3,*,5160,*
3149,Southern Nazarene University,OK,2,*,*,*,21,*,*,*,*,18,24,538,538,319,*,*,1317,201,6293,6293,3717,1876,1841,348,400,3400,65,65,20.8,*,6388,44
3150,Cameron University,OK,2,*,*,*,19,*,*,*,*,16,21,1782,1695,1238,15,39,3302,2686,1640,4017,2400,*,*,*,650,1850,55,55,19.9,*,3823,36
3151,Bartlesville Wesleyan College,OK,2,430,440,870,22,*,*,*,*,18,25,149,114,81,19,41,344,150,5950,5950,2900,1300,1600,85,500,*,38,38,8.4,*,6560,*
3152,University of Central Oklahoma,OK,1,*,*,*,21,*,*,*,*,*,*,3398,3191,1326,9,38,7517,4525,1133,1928,2150,*,*,140,500,1400,65,65,22.8,*,3709,31
3154,East Central University,OK,1,*,*,*,20,*,*,*,*,*,*,600,550,520,10,39,3255,558,1695,3590,2388,*,*,*,400,1801,64,65,18.5,3,3692,*
3157,Langston University,OK,2,*,*,*,*,*,*,*,*,*,*,1171,710,400,*,*,3236,434,1604,2064,2580,1484,1096,250,500,2106,69,69,41.7,*,3440,*
3161,Northeastern State University,OK,1,*,*,*,21,*,*,*,*,18,23,1378,1182,*,*,*,4952,2123,1338,2280,2280,*,*,*,400,*,62,70,20.2,*,3964,25
3163,Northwestern Oklahoma State University,OK,1,*,*,*,*,*,*,*,*,18,24,620,410,346,*,*,*,*,*,*,*,*,*,*,*,*,40,40,16.2,*,3997,29
3164,Oklahoma Baptist University,OK,2,*,*,*,24,*,*,*,*,20,26,758,681,484,35,59,1707,705,5390,5390,3140,1350,1790,530,515,1290,63,71,15.1,18,5511,50
3165,Oklahoma Christian University,OK,2,480,440,920,22,390,570,380,520,18,25,776,765,351,22,44,1419,228,6400,6400,3150,1650,1500,280,500,1900,58,64,16.2,8,6578,45
3166,Oklahoma City University,OK,2,531,501,1032,23,440,620,450,580,21,26,940,653,275,30,52,1613,541,*,*,*,*,*,*,*,*,59,65,14.6,13,7454,40
3167,University of Sci. and Arts of Oklahoma,OK,1,*,*,*,20,*,*,*,*,*,*,285,280,208,21,43,1140,473,1408,3687,1920,640,1280,172,600,1800,67,77,23.6,3,3864,43
3170,Oklahoma State University,OK,1,540,477,1017,24,470,610,420,540,21,26,4522,3913,2181,29,57,12830,1658,1889,5336,3344,1758,1588,40,800,3100,84,92,15.3,14,6433,48
3174,Oklahoma Panhandle State University,OK,1,*,*,*,20,*,*,*,*,*,*,350,343,251,8,27,1117,117,1212,3274,1800,1200,600,217,90,1800,58,58,18.1,*,4572,29
3175,Phillips University,OK,2,465,423,888,22,350,490,410,530,19,25,692,576,174,19,50,597,83,10500,10500,3860,*,*,430,600,940,58,64,11.6,19,8990,39
3179,Southeastern Oklahoma State Univ.,OK,1,*,*,*,20,*,*,*,*,*,*,818,700,447,20,50,2962,651,1500,3738,2619,*,*,*,450,1022,55,59,19.6,9,4444,53
3181,Southwestern Oklahoma State Univ.,OK,1,*,*,*,20,*,*,*,*,16,22,*,*,920,*,*,4057,659,1298,3225,2130,*,2130,*,*,*,*,*,*,*,4225,*
3184,University of Oklahoma,OK,1,*,*,*,24,*,*,*,*,21,27,4743,3970,2233,32,63,13436,2582,1737,5173,3526,*,*,166,765,3176,86,90,11.5,11,10244,44
3185,University of Tulsa,OK,2,576,525,1101,24,510,640,460,580,21,27,1712,1557,696,41,68,2936,433,11750,11750,4160,*,*,*,1200,2350,94,96,11.5,10,11743,47
3985,Oral Roberts University,OK,2,520,490,1010,23,380,550,370,510,17,25,1223,650,632,13,37,2645,167,7950,7950,3994,1744,2250,380,480,1000,51,69,15.5,*,7885,45
1339,Western Baptist College,OR,2,429,404,833,*,*,*,*,*,*,*,259,219,118,*,*,513,23,9200,9200,4000,*,*,200,375,2100,23,23,16.8,14,7269,51
3191,Concordia College,OR,2,466,434,900,19,370,540,360,490,18,25,299,206,81,26,40,811,206,9600,9600,3150,3150,*,*,500,750,56,58,14.3,*,5976,41
3193,Eastern Oregon State College,OR,1,*,*,*,*,*,*,*,*,*,*,949,800,356,*,*,1662,529,2600,2600,3636,*,*,*,450,846,60,60,11.9,*,6390,*
3194,George Fox College,OR,2,497,463,960,*,450,600,430,560,*,*,809,726,294,27,52,1271,43,12500,12500,4130,2080,2050,140,400,1050,53,53,13.5,22,7136,52
